_id,PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
3175521,324235775,23171535,27,2023-10-28T05:00:00,"7200 Block Monticello St Pittsburgh, PA 15208",N,Homewood North,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1302,9,2,-79.8954441338191,40.45951297202357
3175522,324798988,23176386,10,2023-11-06T10:30:00,"100 Block Ruth St Pittsburgh, PA 15211",Y,Mount Washington,3,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1807,2,5,-80.00523189796654,40.42379088929855
3175523,324799806,23176355,0,2023-11-06T11:00:00,"7300 Block Hamilton Ave Pittsburgh, PA 15208",Y,Homewood South,5,99,4524 Windshield Obstructions and Wipers. / 627.02(b)(i) Possessing a small amount of marijuana,1303,9,2,-79.89564758083468,40.454024491261066
3175524,324806932,23176425,6,2023-11-05T22:30:00,"700 Block Penn Ave Pittsburgh, PA 15219",N,Central Business District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,201,,,-79.88467246658247,40.44351144212514
3175525,324810215,23176417,99,2023-11-06T12:51:00,"7000 Block Kelly St Pittsburgh, PA 15208",N,Homewood South,5,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),1303,9,2,-79.90181463020195,40.4566120541176
3175526,324813870,23176479,99,2023-11-06T15:20:00,"100 Block Graeme St Pittsburgh, PA ",N,Central Business District,2,FOUND PROPERTY,9489 Found Property,201,,,,
3175527,324821831,23176482,6,2023-11-06T15:11:00,"6200 Block Penn Ave Pittsburgh, PA 15206",Y,East Liberty,5,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 5104 Resisting Arrest or Other Law Enforcement. / 5505 Public Drunkenness / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING",1115,8,2,-79.92259331496999,40.46013933681722
3175528,324271122,23171752,10,2023-10-28T22:28:00,"1700 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,SIMPLE ASSAULT,2701 Simple Assault.,1702,3,3,-79.98187231372171,40.42859317552536
3175529,324900412,23176947,0,2023-11-07T11:41:00,"1500 Block Rockland Ave Pittsburgh, PA 15216",N,Beechview,6,99,9999 9999 - (Misc. Incident): ,1916,4,5,-80.02036781481688,40.41203819237264
3175530,324936298,23177206,18,2023-11-07T19:17:00,"5th Ave & Van Braam St Pittsburgh, PA 15219",Y,Bluff,2,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,103,6,3,-79.98260774609798,40.43845025480589
3175531,324267162,23172137,14,2023-10-29T14:57:00,"1400 Block Oakridge St Pittsburgh, PA 15226",N,Brookline,6,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 907 Possessing Instruments of Crime.,1918,4,5,-80.00837234702641,40.39125805543961
